Rank,Name,Time
1,Holt (A),3:34.01
2,Holt (A),3:36.71
3,Holt (A),3:37.28
4,Holt (A),3:37.97
5,Holt (A),3:40.92
6,Holt (A),3:42.58
7,Holt (A),3:44.32
8,Holt (A),3:44.57
9,Holt (A),3:45.70
9,Holt (A),3:45.70
11,Holt (A),3:49.95
12,Holt (A),3:50.50
13,Holt (B),3:53.45
14,Holt (B),3:56.19
15,Holt (B),3:56.20
16,Holt (B),3:57.61
17,Holt (B),4:03.74
18,Holt (B),4:04.01
19,Holt (B),4:04.57
20,Holt (A),4:08.08
21,Holt (B),4:10.40
21,Holt (B),4:10.40
23,Holt (B),4:11.81
24,Holt (B),4:15.26
25,Holt (C),4:15.76
26,Holt (C),4:28.64
27,Holt (C),4:45.19
28,Holt (C),4:49.34
28,Holt (C),4:49.34
30,Holt (C),4:58.04
