Rank,Name,Time
1,Saint Johns (A),1:38.56
2,Saint Johns (A),1:41.00
3,Saint Johns (A),1:43.80
4,Saint Johns (B),1:45.57
5,Saint Johns (A),1:45.77
5,Saint Johns (A),1:45.77
7,Saint Johns (A),1:46.62
8,Saint Johns (A),1:51.22
8,Saint Johns (A),1:51.22
10,Saint Johns (B),1:52.31
11,Saint Johns (B),1:59.59
11,Saint Johns (B),1:59.59
13,Saint Johns (B),1:59.95
14,Saint Johns (C),2:05.19
15,Saint Johns (C),2:05.99
16,Saint Johns (B),2:08.56
17,Saint Johns (B),2:11.82
17,Saint Johns (B),2:11.82
19,Saint Johns (A),2:12.08
