Rank,Name,Time
1,Dewitt (A),1:46.56
2,Dewitt (A),1:48.99
3,Dewitt (A),1:50.62
4,Dewitt (A),1:51.71
5,Dewitt (A),1:52.13
6,Dewitt (A),1:53.00
7,Dewitt (A),1:53.35
8,Dewitt (A),1:53.71
9,Dewitt (B),1:54.35
10,Dewitt (B),1:54.74
11,Dewitt (A),1:54.83
11,Dewitt (A),1:54.83
13,Dewitt (B),1:55.45
14,Dewitt (B),1:58.11
15,Dewitt (B),1:59.79
16,Dewitt (B),2:00.36
17,Dewitt (B),2:00.73
17,Dewitt (B),2:00.73
19,Dewitt (C),2:01.21
20,Dewitt (C),2:02.27
21,Dewitt (D),2:02.46
22,Dewitt (C),2:03.51
23,Dewitt (C),2:03.64
24,Dewitt (C),2:04.46
25,Dewitt (C),2:06.25
26,Dewitt (C),2:07.58
26,Dewitt (C),2:07.58
28,Dewitt (D),2:12.84
29,Dewitt (D),2:20.28
30,Dewitt (F),2:20.30
31,Dewitt (E),2:20.54
32,Dewitt (D),2:28.76
