Rank,Name,Time
1,Okemos (A),1:27.47
2,Okemos (A),1:28.60
3,Okemos (A),1:32.24
4,Okemos (A),1:33.48
5,Okemos (A),1:34.73
6,Okemos (A),1:36.09
7,Okemos (A),1:36.23
8,Okemos (A),1:38.06
9,Okemos (B),1:40.53
10,Okemos (A),1:41.37
11,Okemos (A),1:42.92
12,Okemos (B),1:43.40
13,Okemos (B),1:45.87
14,Okemos (B),1:47.99
15,Okemos (B),1:50.37
16,Okemos (B),1:52.77
17,Okemos (B),1:54.34
18,Okemos (C),1:59.45
19,Okemos (B),2:00.15
20,Okemos (C),2:01.59
21,Okemos (C),2:05.77
22,Okemos (C),2:06.45
23,Okemos (C),2:07.63
24,Okemos (C),2:08.54
25,Okemos (D),2:25.03
26,Okemos (C),2:43.59
