Rank,Name,Time
1,East Lansing (A),1:44.57
2,East Lansing (A),1:44.62
3,East Lansing (A),1:45.69
4,East Lansing (A),1:46.84
5,East Lansing (A),1:47.09
6,East Lansing (A),1:49.54
7,East Lansing (A),1:50.71
8,East Lansing (A),1:50.98
9,East Lansing (A),1:51.27
10,East Lansing (A),1:51.52
10,East Lansing (A),1:51.52
12,East Lansing (B),1:52.18
13,East Lansing (A),1:53.29
14,East Lansing (B),1:53.34
15,East Lansing (B),1:54.08
16,East Lansing (B),1:55.26
17,East Lansing (B),1:57.48
18,East Lansing (A),1:57.72
19,East Lansing (C),1:59.92
20,East Lansing (B),2:06.26
21,East Lansing (C),2:07.55
22,East Lansing (B),2:08.12
23,East Lansing (B),2:08.83
23,East Lansing (B),2:08.83
25,East Lansing (C),2:08.88
26,East Lansing (C),2:14.58
27,East Lansing (B),2:14.85
28,East Lansing (C),2:24.28
29,East Lansing (C),2:27.48
30,East Lansing (C),2:36.91
31,East Lansing (D),2:44.04
