Rank,Name,Time
1,Grand Ledge (A),3:31.30
2,Grand Ledge (A),3:32.65
3,Grand Ledge (A),3:35.02
4,Grand Ledge (A),3:36.68
5,Grand Ledge (A),3:40.95
6,Grand Ledge (A),3:42.75
7,Grand Ledge (A),3:50.28
8,Grand Ledge (A),3:51.42
9,Grand Ledge (A),3:53.84
10,Grand Ledge (A),3:54.48
11,Grand Ledge (B),3:54.84
12,Grand Ledge (B),4:04.25
13,Grand Ledge (B),4:04.94
14,Grand Ledge (B),4:07.41
15,Grand Ledge (B),4:11.03
16,Grand Ledge (B),4:13.88
17,Grand Ledge (B),4:21.87
18,Grand Ledge (B),4:29.52
19,Grand Ledge (C),4:35.61
20,Grand Ledge (B),4:50.59
21,Grand Ledge (C),4:53.40
22,Grand Ledge (C),5:08.99
