Rank,Name,Time
1,Okemos (A),1:37.57
2,Okemos (A),1:38.32
3,Okemos (A),1:43.13
4,Okemos (A),1:43.20
5,Okemos (A),1:44.93
6,Okemos (A),1:45.29
7,Okemos (A),1:47.10
8,Okemos (A),1:47.62
9,Okemos (A),1:51.17
10,Okemos (A),1:51.76
11,Okemos (A),1:52.14
12,Okemos (B),1:55.39
13,Okemos (B),1:57.06
14,Okemos (B),1:58.51
15,Okemos (B),2:01.13
16,Okemos (B),2:03.75
17,Okemos (B),2:04.02
18,Okemos (B),2:04.23
19,Okemos (C),2:06.63
20,Okemos (C),2:08.87
21,Okemos (B),2:13.74
22,Okemos (C),2:16.26
23,Okemos (C),2:17.30
24,Okemos (C),2:18.95
25,Okemos (D),2:28.19
26,Okemos (C),2:29.69
27,Okemos (D),2:31.13
