Rank,Name,Time
1,Dewitt (A),3:23.79
2,Dewitt (A),3:30.78
2,Dewitt (A),3:30.78
4,Dewitt (A),3:31.65
5,Dewitt (A),3:31.70
6,Dewitt (A),3:34.06
7,Dewitt (A),3:34.73
8,Dewitt (A),3:35.83
9,Dewitt (A),3:40.67
10,Dewitt (A),3:41.89
11,Dewitt (A),3:41.95
12,Dewitt (B),3:46.37
13,Dewitt (B),3:47.08
14,Dewitt (B),3:51.52
15,Dewitt (B),3:51.95
16,Dewitt (B),3:53.63
17,Dewitt (B),3:53.89
18,Dewitt (C),3:56.31
19,Dewitt (C),3:57.25
20,Dewitt (B),3:58.04
20,Dewitt (B),3:58.04
22,Dewitt (B),3:59.03
23,Dewitt (C),4:03.02
24,Dewitt (C),4:03.69
25,Dewitt (C),4:09.70
26,Dewitt (C),4:10.44
27,Dewitt (D),4:13.09
28,Dewitt (D),4:49.98
29,Dewitt (D),4:50.61
30,Dewitt (D),4:58.76
