Rank,Name,Time
1,East Lansing (A),3:23.81
1,East Lansing (A),3:23.81
3,East Lansing (A),3:37.77
4,East Lansing (A),3:39.59
5,East Lansing (A),3:41.56
6,East Lansing (A),3:42.65
7,East Lansing (A),3:43.16
8,East Lansing (A),3:47.64
9,East Lansing (A),3:48.03
10,East Lansing (B),3:57.71
11,East Lansing (A),4:03.77
12,East Lansing (B),4:03.89
12,East Lansing (B),4:03.89
14,East Lansing (B),4:09.95
15,East Lansing (C),4:15.83
16,East Lansing (A),4:17.09
17,East Lansing (B),4:18.46
18,East Lansing (C),4:20.04
19,East Lansing (C),4:24.61
20,East Lansing (B),4:26.48
21,East Lansing (B),4:35.33
22,East Lansing (B),4:41.54
23,East Lansing (C),4:56.58
24,East Lansing (C),4:57.13
25,East Lansing (D),4:57.92
26,East Lansing (C),5:13.37
27,East Lansing (B),5:37.42
28,East Lansing (D),5:38.23
